iter	RMSE
0	10899.70333
1	10856.56893
2	10816.59844
3	10776.38776
4	10758.45957
5	10729.32272
6	10692.96268
7	10664.32177
8	10630.53274
9	10598.84764
10	10573.77815
11	10549.03101
12	10506.78539
13	10450.93035
14	10417.68925
15	10384.24653
16	10334.14642
17	10302.47033
18	10265.64859
19	10230.14635
20	10189.84336
21	10153.00361
22	10118.01964
23	10090.56024
24	10047.63995
25	10004.50656
26	9970.560992
27	9937.817298
28	9904.057195
29	9877.092277
30	9846.310468
31	9808.997701
32	9782.534059
33	9744.342847
34	9718.037731
35	9686.944159
36	9651.730309
37	9612.150748
38	9589.118348
39	9568.265854
40	9528.5522
41	9491.404711
42	9466.898758
43	9431.295922
44	9393.562813
45	9364.047417
46	9331.845642
47	9302.529508
48	9266.141476
49	9244.17594
50	9221.093253
51	9194.800762
52	9152.380381
53	9109.738252
54	9079.189688
55	9041.827924
56	9013.17399
57	8988.579328
58	8953.329396
59	8913.556821
60	8881.850897
61	8846.329014
62	8806.952779
63	8768.329219
64	8726.413943
65	8702.111148
66	8678.707983
67	8646.599693
68	8602.463207
69	8575.87248
70	8550.12522
71	8517.382204
72	8492.151123
73	8468.850001
74	8427.842496
75	8392.249858
76	8366.859971
77	8356.562379
78	8336.062212
79	8312.699292
80	8288.255137
81	8268.175193
82	8235.945735
83	8207.277282
84	8179.412927
85	8142.51765
86	8116.114303
87	8087.189671
88	8063.61879
89	8053.273102
90	8027.969595
91	8007.31982
92	7986.209081
93	7969.082818
94	7932.39147
95	7917.950469
96	7879.392006
97	7864.514016
98	7829.218363
99	7803.015163
100	7784.395308
101	7762.807342
102	7737.626851
103	7713.887677
104	7689.405036
105	7671.931367
106	7650.812825
107	7623.37106
108	7605.370626
109	7586.286676
110	7568.928899
111	7544.942417
112	7523.926142
113	7503.826512
114	7483.341971
115	7465.839205
116	7444.566734
117	7426.973334
118	7382.673874
119	7355.030726
120	7333.80642
121	7303.583556
122	7270.551788
123	7254.156113
124	7230.161268
125	7207.164618
126	7189.808354
127	7169.387134
128	7167.089538
129	7146.453656
130	7124.349265
131	7104.601101
132	7080.447505
133	7062.955311
134	7046.157639
135	7035.303947
136	7013.471611
137	7001.525819
138	6976.22671
139	6945.152754
140	6921.585502
141	6911.267975
142	6875.033521
143	6860.9324
144	6832.804996
145	6803.169905
146	6775.620771
147	6748.832092
148	6722.120445
149	6696.811634
150	6673.741787
151	6653.674065
152	6633.233197
153	6614.739265
154	6592.906915
155	6567.696756
156	6553.875322
157	6534.930058
158	6513.627633
159	6493.796608
160	6473.477332
161	6442.44176
162	6425.806306
163	6400.397203
164	6385.010855
165	6371.877236
166	6365.646565
167	6351.982588
168	6336.856057
169	6313.546292
170	6295.937252
171	6279.120265
172	6266.270182
173	6251.408183
