iter	Passed	Remaining
0	56	56877
1	58	29440
2	60	20256
3	62	15651
4	64	12916
5	66	11067
6	68	9758
7	70	8780
8	72	8016
9	74	7397
10	76	6894
11	78	6475
12	80	6148
13	83	5856
14	85	5584
15	87	5351
16	89	5148
17	90	4960
18	92	4796
19	94	4648
20	96	4510
21	98	4391
22	101	4300
23	103	4202
24	105	4111
25	107	4024
26	109	3942
27	111	3864
28	113	3792
29	115	3725
30	117	3664
31	119	3603
32	121	3547
33	123	3495
34	125	3448
35	127	3400
36	128	3356
37	132	3346
38	134	3303
39	136	3264
40	137	3225
41	139	3191
42	141	3157
43	143	3122
44	145	3089
45	147	3059
46	149	3035
47	151	3009
48	153	2982
49	155	2957
50	157	2932
51	159	2907
52	161	2884
53	163	2863
54	165	2840
55	167	2819
56	169	2799
57	171	2779
58	173	2760
59	174	2741
60	176	2723
61	178	2705
62	180	2689
63	182	2671
64	184	2656
65	186	2639
66	188	2625
67	190	2609
68	192	2594
69	194	2580
70	196	2565
71	197	2551
72	199	2537
73	201	2524
74	203	2511
75	205	2498
76	207	2486
77	209	2476
78	211	2464
79	213	2452
80	215	2442
81	217	2433
82	219	2425
83	221	2415
84	223	2408
85	225	2400
86	227	2390
87	229	2380
88	231	2371
89	233	2361
90	235	2351
91	237	2343
92	239	2335
93	241	2325
94	243	2317
95	245	2311
96	248	2313
97	250	2305
98	252	2298
99	254	2290
100	256	2282
101	258	2273
102	260	2265
103	262	2257
104	263	2249
105	265	2241
106	267	2234
107	269	2227
108	271	2220
109	273	2212
110	275	2206
111	277	2199
112	279	2192
113	281	2185
114	283	2178
115	285	2172
116	287	2168
117	289	2162
118	291	2157
119	293	2151
120	295	2149
121	298	2146
122	300	2143
123	303	2140
124	305	2136
125	307	2132
126	309	2129
127	311	2124
128	312	2111
129	315	2108
130	318	2111
131	320	2107
132	324	2116
133	326	2110
134	328	2104
135	330	2098
136	332	2093
137	334	2088
138	336	2082
139	338	2078
140	340	2072
141	342	2066
142	343	2061
143	345	2056
144	347	2051
145	349	2046
146	351	2041
147	353	2037
148	355	2032
149	357	2028
150	359	2022
151	361	2018
152	363	2012
153	365	2008
154	367	2003
155	369	1998
156	371	1994
157	373	1989
158	375	1984
159	377	1979
160	379	1975
161	380	1970
162	382	1965
163	384	1961
164	386	1957
165	388	1952
166	390	1948
167	392	1943
168	394	1938
169	396	1934
170	398	1930
171	400	1926
172	401	1921
173	404	1917
174	405	1913
175	407	1909
176	409	1905
177	411	1901
178	413	1897
179	415	1892
180	417	1888
181	419	1884
182	421	1880
183	423	1876
184	424	1872
185	426	1868
186	428	1864
187	430	1860
188	432	1856
189	434	1852
190	436	1848
191	438	1844
192	440	1840
193	442	1836
194	443	1832
195	445	1828
196	447	1825
197	449	1821
198	451	1816
199	453	1812
200	455	1809
201	457	1806
202	459	1802
203	461	1799
204	463	1796
205	465	1792
206	467	1789
207	469	1785
208	471	1782
209	472	1779
210	474	1775
211	476	1772
212	478	1768
213	480	1765
214	482	1762
215	484	1758
216	486	1755
217	488	1752
218	490	1748
219	492	1745
220	494	1741
221	496	1738
222	497	1734
223	499	1731
224	501	1728
225	503	1725
226	505	1722
227	507	1719
228	509	1716
229	511	1713
230	513	1709
231	515	1706
232	517	1703
233	519	1699
234	521	1696
235	522	1692
236	524	1689
237	526	1686
238	528	1683
239	530	1680
240	532	1677
241	534	1673
242	536	1671
243	538	1668
244	540	1664
245	542	1661
246	544	1658
247	546	1656
248	548	1653
249	549	1649
250	551	1646
251	553	1643
252	555	1640
253	557	1637
254	559	1634
255	561	1632
256	563	1629
257	565	1626
258	567	1623
259	569	1620
260	571	1617
261	573	1614
262	574	1611
263	576	1608
264	578	1605
265	580	1602
266	582	1599
267	584	1597
268	586	1594
269	588	1591
270	590	1588
271	592	1585
272	594	1582
273	596	1579
274	598	1577
275	600	1574
276	602	1571
277	603	1568
278	606	1566
279	607	1563
280	609	1560
281	611	1557
282	613	1554
283	615	1551
284	617	1549
285	619	1546
286	621	1543
287	623	1540
288	624	1537
289	626	1535
290	628	1532
291	630	1529
292	632	1526
293	634	1523
294	636	1520
295	638	1518
296	640	1515
297	642	1512
298	643	1509
299	645	1506
300	647	1503
301	649	1501
302	651	1498
303	653	1495
304	655	1493
305	657	1490
306	659	1487
307	660	1485
308	662	1482
309	664	1479
310	666	1476
311	668	1474
312	670	1471
313	672	1468
314	674	1466
315	676	1463
316	678	1461
317	680	1458
318	681	1455
319	683	1453
320	685	1450
321	687	1447
322	689	1445
323	691	1442
324	693	1440
325	695	1437
326	697	1434
327	699	1432
328	701	1429
329	702	1427
330	704	1424
331	706	1422
332	708	1419
333	710	1416
334	712	1413
335	714	1411
336	716	1409
337	718	1406
338	719	1403
339	721	1400
340	723	1398
341	725	1396
342	727	1394
343	731	1394
344	733	1392
345	735	1389
346	737	1387
347	739	1384
348	741	1382
349	742	1379
350	744	1377
351	746	1374
352	748	1372
353	750	1369
354	752	1366
355	754	1364
356	755	1361
357	757	1359
358	759	1356
359	761	1354
360	763	1351
361	766	1350
362	768	1348
363	770	1347
364	772	1344
365	774	1342
366	777	1340
367	779	1338
368	781	1336
369	783	1334
370	786	1332
371	788	1330
372	790	1328
373	792	1327
374	795	1325
375	797	1323
376	799	1321
377	802	1319
378	804	1317
379	806	1315
380	808	1313
381	810	1311
382	813	1310
383	815	1308
384	817	1306
385	819	1304
386	821	1302
387	824	1299
388	826	1297
389	828	1295
390	830	1293
391	832	1291
392	834	1289
393	837	1287
394	839	1285
395	841	1283
396	844	1282
397	847	1282
398	850	1281
399	852	1279
400	855	1278
401	858	1276
402	860	1274
403	862	1272
404	864	1270
405	867	1268
406	869	1266
407	871	1264
408	873	1262
409	875	1260
410	878	1258
411	880	1256
412	882	1254
413	885	1253
414	888	1252
415	890	1250
416	892	1248
417	895	1246
418	897	1244
419	899	1242
420	901	1240
421	904	1238
422	906	1236
423	908	1234
424	910	1232
425	912	1229
426	914	1227
427	916	1224
428	918	1222
429	920	1219
430	922	1217
431	924	1215
432	926	1212
433	928	1210
434	930	1208
435	932	1205
436	934	1203
437	936	1201
438	937	1198
439	939	1196
440	941	1193
441	943	1191
442	945	1188
443	947	1186
444	949	1184
445	951	1181
446	953	1179
447	955	1177
448	957	1174
449	959	1172
450	960	1169
451	963	1167
452	965	1165
453	967	1163
454	969	1160
455	970	1158
456	972	1156
457	974	1153
458	976	1151
459	978	1148
460	980	1146
461	982	1143
462	984	1141
463	986	1139
464	987	1136
465	989	1134
466	991	1131
467	993	1129
468	995	1127
469	997	1124
470	999	1122
471	1001	1120
472	1003	1117
473	1005	1115
474	1007	1113
475	1008	1110
476	1010	1108
477	1012	1105
478	1014	1103
479	1016	1101
480	1018	1098
481	1020	1096
482	1022	1094
483	1024	1091
484	1026	1089
485	1027	1087
486	1029	1084
487	1031	1082
488	1033	1080
489	1035	1077
490	1037	1075
491	1039	1073
492	1041	1071
493	1043	1068
494	1045	1066
495	1047	1064
496	1049	1061
497	1051	1059
498	1053	1057
499	1054	1054
500	1056	1052
501	1058	1050
502	1060	1048
503	1062	1045
504	1064	1043
505	1066	1041
506	1068	1038
507	1070	1036
508	1072	1034
509	1073	1031
510	1075	1029
511	1077	1027
512	1079	1024
513	1081	1022
514	1083	1020
515	1085	1018
516	1087	1015
517	1089	1013
518	1091	1011
519	1093	1009
520	1095	1006
521	1097	1004
522	1099	1002
523	1100	1000
524	1102	997
525	1105	995
526	1107	993
527	1109	991
528	1110	989
529	1112	986
530	1115	985
531	1117	982
532	1119	980
533	1121	978
534	1124	977
535	1126	975
536	1128	973
537	1131	971
538	1133	969
539	1135	967
540	1138	965
541	1140	963
542	1142	961
543	1145	959
544	1147	958
545	1149	956
546	1152	954
547	1156	953
548	1159	952
549	1162	950
550	1164	948
551	1166	946
552	1169	945
553	1171	943
554	1173	941
555	1176	939
556	1178	937
557	1181	935
558	1183	933
559	1186	932
560	1189	930
561	1194	931
562	1197	929
563	1200	927
564	1202	926
565	1205	924
566	1208	922
567	1211	921
568	1215	920
569	1217	918
570	1219	916
571	1221	913
572	1223	911
573	1225	909
574	1227	907
575	1229	904
576	1231	902
577	1233	900
578	1235	898
579	1237	895
580	1239	894
581	1241	891
