iter	RMSE
0	10995.03687
1	10955.49086
2	10910.90624
3	10896.45817
4	10868.69625
5	10848.41279
6	10806.20351
7	10761.71456
8	10720.61507
9	10684.41154
10	10648.69645
11	10623.55926
12	10581.8275
13	10561.61358
14	10522.97844
15	10488.00241
16	10452.11645
17	10427.5686
18	10402.78894
19	10371.17495
20	10343.92163
21	10303.41862
22	10264.55364
23	10243.22143
24	10218.57513
25	10184.9443
26	10155.19783
27	10151.72322
28	10107.94733
29	10085.12279
30	10063.62359
31	10025.6981
32	10011.70673
33	9974.202288
34	9937.347269
35	9899.649098
36	9865.910847
37	9833.475187
38	9802.000545
39	9773.220495
40	9749.612333
41	9716.796935
42	9675.651321
43	9659.605601
44	9642.308379
45	9615.152937
46	9557.424727
47	9526.091818
48	9516.366604
49	9487.92222
50	9456.333716
51	9419.777913
52	9391.481058
53	9365.307924
54	9336.64276
55	9324.004586
56	9283.428513
57	9269.160213
58	9241.958107
59	9215.561567
60	9174.04405
61	9146.028415
62	9107.226722
63	9080.89403
64	9060.39182
65	9021.621707
66	8982.959155
67	8956.107455
68	8916.476004
69	8892.29537
70	8872.923733
71	8850.6375
72	8827.081066
73	8820.489652
74	8806.318363
75	8777.540679
76	8761.903675
77	8742.438206
78	8721.6279
79	8689.230736
80	8671.574077
81	8654.847325
82	8624.693282
83	8588.064084
84	8564.804658
85	8547.026729
86	8518.918577
87	8490.731594
88	8479.330852
89	8460.523076
90	8433.612494
91	8407.064261
92	8388.088252
93	8367.140592
94	8352.918864
95	8339.423069
96	8309.816869
97	8286.743501
98	8272.571279
99	8262.469879
100	8234.209298
101	8205.151054
102	8170.578981
103	8160.333736
104	8138.655454
105	8112.967555
106	8090.378972
107	8068.312178
108	8035.359611
109	8017.052335
110	7991.819836
111	7980.418036
112	7953.482929
113	7939.933878
114	7913.666649
115	7898.51176
116	7875.648598
117	7855.86826
118	7838.959615
119	7823.395999
120	7797.018238
121	7777.030733
122	7756.163767
123	7735.670237
124	7718.799291
125	7706.037855
126	7686.55998
127	7675.94197
128	7642.73661
129	7614.616786
130	7582.344698
131	7556.334625
132	7542.192439
133	7525.223653
134	7498.416528
135	7463.438069
136	7441.927854
137	7434.606386
138	7412.815717
139	7391.981587
140	7380.780464
141	7355.872521
142	7341.005414
143	7322.630606
144	7300.772102
145	7287.782461
146	7253.843783
147	7242.2469
148	7232.874858
149	7204.803899
150	7178.770048
151	7156.929349
152	7135.110615
153	7113.809924
154	7077.017948
155	7056.664596
156	7034.948964
157	7016.797896
158	7002.732252
159	6978.300697
160	6959.745191
161	6944.061086
162	6914.47823
163	6889.231786
164	6868.044953
165	6859.476579
166	6833.306329
167	6798.428623
168	6778.390608
169	6753.795124
170	6734.628274
171	6711.955212
172	6703.553036
173	6681.985052
174	6655.055608
175	6644.297842
176	6618.630991
177	6598.146448
178	6574.577569
179	6559.67247
180	6537.725824
181	6519.212084
182	6505.281364
183	6495.084829
184	6482.202938
185	6468.418686
186	6454.701961
187	6434.738403
188	6432.343016
189	6424.900403
190	6394.230924
191	6385.215702
192	6369.525975
193	6363.22285
194	6343.047821
195	6326.399467
196	6308.336908
197	6286.457197
198	6280.170572
199	6256.515808
200	6246.619074
201	6239.426832
202	6225.547327
203	6199.866857
204	6196.280714
205	6179.008998
206	6168.316839
207	6163.593543
208	6149.72234
209	6133.929194
210	6121.477891
211	6115.097311
212	6108.589303
213	6081.785009
214	6076.081409
215	6060.512931
216	6051.673501
217	6031.290238
218	6026.035765
219	6019.007165
220	5999.181747
221	5993.613427
222	5975.657347
223	5968.308922
224	5944.9607
225	5915.444254
226	5903.103551
227	5882.80596
228	5877.606705
229	5863.725368
230	5843.071455
231	5829.81714
232	5800.993311
233	5780.98914
234	5775.749768
235	5768.955518
236	5763.707972
237	5757.699065
238	5732.057821
239	5728.482096
240	5705.754559
241	5696.853075
242	5666.715277
243	5646.765167
244	5641.406671
245	5635.635854
246	5630.715956
247	5626.853088
248	5601.301285
249	5583.917363
250	5563.36463
251	5543.943655
252	5539.363674
253	5524.984565
254	5500.206609
255	5495.388007
256	5490.710371
257	5472.479516
258	5457.494683
259	5453.397717
260	5432.941341
261	5428.581679
262	5424.290034
263	5419.128126
264	5398.957914
265	5377.745842
266	5374.315803
267	5369.14347
268	5365.189366
269	5348.308878
270	5335.510813
271	5324.641035
272	5293.384904
273	5264.015711
274	5243.429666
275	5238.709687
276	5235.932973
277	5232.667813
278	5211.765329
279	5195.07433
280	5172.105336
281	5169.675841
282	5160.651305
283	5143.094895
284	5127.60188
285	5100.777622
286	5089.752511
287	5086.556023
288	5082.307438
289	5078.939767
290	5074.336445
291	5065.876886
292	5039.554662
293	5021.880086
294	5016.880103
295	4998.131244
296	4981.504092
297	4979.124179
298	4954.23309
299	4950.346639
300	4946.613195
301	4924.963045
302	4908.526019
303	4890.388642
304	4870.258571
305	4854.609224
306	4839.711383
307	4817.154775
308	4798.338311
309	4794.348988
310	4792.038394
311	4788.580234
312	4771.979458
313	4768.690444
314	4766.415701
315	4764.182087
316	4745.30749
317	4729.465045
318	4704.950759
319	4686.359912
320	4684.140322
321	4661.186886
322	4642.886111
323	4624.33926
324	4605.452122
325	4588.849384
326	4562.499406
327	4558.926686
328	4545.052528
329	4520.22652
330	4516.176338
331	4497.152454
332	4479.300031
333	4463.195465
334	4438.556519
335	4434.740246
336	4415.979999
337	4413.84736
338	4410.584861
339	4408.500326
340	4396.88046
341	4394.809074
342	4391.634845
343	4370.82891
344	4360.540595
345	4347.260337
346	4330.68926
347	4314.817043
348	4297.051934
349	4294.184269
350	4272.903291
351	4262.101425
352	4254.605917
353	4251.551789
354	4248.654506
355	4234.440401
356	4232.412086
357	4228.931698
358	4225.847463
359	4206.424694
360	4204.441102
361	4185.952365
362	4183.185606
363	4160.125527
364	4142.963772
365	4139.756325
366	4120.86752
367	4117.826226
368	4115.915846
369	4114.035424
370	4111.108054
371	4097.639375
372	4094.665121
373	4091.950579
374	4072.286824
375	4069.619448
376	4065.821089
377	4051.101188
378	4033.697522
379	4017.91975
380	3999.687409
381	3987.264838
382	3965.755917
383	3963.908791
384	3943.252546
385	3924.888866
386	3922.345125
387	3920.497334
388	3904.095832
389	3894.896029
390	3891.982524
391	3889.426458
392	3877.790358
393	3866.297643
394	3863.459798
395	3842.210128
396	3829.161343
397	3826.884494
398	3823.922939
399	3821.65701
400	3799.793245
401	3783.958997
402	3767.687481
403	3750.778986
404	3746.907498
405	3745.143271
406	3742.454261
407	3731.796047
408	3728.705251
409	3724.739154
410	3711.725902
411	3710.008535
412	3707.122876
413	3691.276595
414	3688.905504
415	3686.472377
416	3668.3542
417	3666.653773
418	3647.667292
419	3645.777304
420	3634.07042
421	3628.61934
422	3626.92764
423	3616.926856
424	3602.827856
