iter	Passed	Remaining
0	8	8189
1	13	6960
2	20	6731
3	26	6560
4	32	6478
5	38	6362
6	44	6267
7	50	6258
8	56	6250
9	62	6215
10	69	6218
11	74	6172
12	82	6283
13	88	6248
14	94	6201
15	100	6196
16	108	6282
17	114	6244
18	120	6232
19	129	6329
20	136	6370
21	146	6514
22	157	6704
23	164	6699
24	175	6861
25	184	6904
26	193	6964
27	205	7125
28	218	7321
29	232	7509
30	244	7656
31	261	7896
32	276	8102
33	289	8238
34	303	8381
35	317	8490
36	338	8814
37	351	8903
38	362	8936
39	373	8962
40	382	8936
41	390	8901
42	397	8837
43	405	8814
44	411	8740
45	417	8664
46	423	8583
47	429	8516
48	435	8455
49	441	8387
50	447	8321
51	452	8258
52	459	8206
53	465	8150
54	470	8090
55	476	8039
56	482	7983
57	488	7931
58	494	7885
59	500	7839
60	506	7798
61	512	7760
62	518	7713
63	524	7672
64	530	7630
65	536	7591
66	542	7558
67	548	7524
68	554	7485
69	561	7453
70	566	7418
71	572	7382
72	578	7348
73	584	7315
74	590	7280
75	596	7252
76	602	7222
77	608	7198
78	614	7167
79	620	7136
80	626	7108
81	632	7078
82	637	7048
83	643	7020
84	649	6994
85	656	6972
86	661	6944
87	667	6917
88	673	6893
89	679	6869
90	685	6844
91	690	6819
92	696	6795
93	702	6770
94	708	6751
95	714	6727
96	720	6707
97	726	6689
98	732	6668
99	738	6648
100	745	6631
101	751	6611
102	757	6592
103	762	6573
104	768	6550
105	774	6532
106	780	6513
107	786	6492
108	791	6471
109	797	6453
110	803	6436
111	809	6420
112	815	6400
113	821	6385
114	827	6368
115	833	6349
116	838	6330
117	844	6313
118	850	6294
119	856	6280
120	862	6265
121	868	6251
122	874	6235
123	880	6221
124	886	6206
125	892	6190
126	898	6178
127	906	6173
128	916	6191
129	923	6181
130	929	6165
131	935	6151
132	941	6136
133	947	6122
134	953	6110
135	959	6097
136	965	6083
137	971	6070
138	977	6056
139	984	6044
140	990	6031
141	995	6015
142	1001	6001
143	1007	5987
144	1013	5973
145	1019	5964
146	1025	5950
147	1031	5937
148	1037	5923
149	1043	5912
150	1049	5900
151	1055	5889
152	1061	5876
153	1068	5867
154	1074	5858
155	1080	5845
156	1086	5832
157	1092	5820
158	1097	5807
159	1104	5797
160	1109	5784
161	1116	5775
162	1122	5762
163	1129	5755
164	1135	5744
165	1143	5744
166	1150	5737
167	1157	5730
168	1165	5733
169	1175	5737
170	1182	5731
171	1190	5730
172	1196	5720
173	1202	5708
174	1208	5697
175	1214	5686
176	1220	5675
177	1227	5667
178	1232	5654
179	1239	5645
180	1245	5633
181	1251	5623
182	1257	5611
183	1262	5600
184	1269	5590
185	1274	5578
186	1280	5567
187	1286	5557
188	1292	5546
189	1298	5535
190	1304	5525
191	1310	5513
192	1316	5503
193	1322	5492
194	1327	5481
195	1333	5471
196	1339	5460
197	1345	5448
198	1351	5440
199	1357	5429
200	1362	5418
201	1369	5409
202	1374	5397
203	1380	5386
204	1386	5376
205	1392	5365
206	1397	5354
207	1403	5345
208	1410	5336
209	1416	5328
210	1422	5318
211	1428	5310
212	1435	5305
213	1443	5300
214	1450	5295
215	1457	5288
216	1463	5279
217	1468	5269
218	1475	5262
219	1482	5255
220	1488	5245
221	1494	5236
222	1500	5228
223	1506	5217
224	1511	5206
225	1517	5198
226	1523	5188
227	1530	5180
228	1536	5174
229	1544	5170
230	1551	5165
231	1557	5157
232	1564	5148
233	1569	5138
234	1575	5129
235	1581	5121
236	1588	5115
237	1596	5110
238	1603	5104
239	1609	5097
240	1618	5096
241	1626	5095
242	1634	5091
243	1642	5088
244	1649	5082
245	1655	5073
246	1661	5066
247	1667	5056
248	1673	5046
249	1679	5038
250	1686	5032
251	1693	5027
252	1700	5020
253	1706	5011
254	1712	5002
255	1717	4992
256	1723	4983
257	1729	4974
258	1736	4967
259	1743	4961
260	1749	4952
261	1754	4942
262	1760	4934
263	1766	4924
264	1772	4915
265	1778	4907
266	1784	4897
267	1789	4888
268	1795	4880
269	1801	4871
270	1807	4862
271	1813	4853
272	1819	4844
273	1825	4836
274	1831	4827
275	1836	4818
276	1843	4810
277	1848	4801
278	1854	4792
279	1860	4784
280	1865	4774
281	1871	4765
282	1877	4756
283	1882	4747
284	1889	4739
285	1895	4730
286	1900	4722
287	1906	4714
288	1912	4705
289	1918	4697
290	1924	4689
291	1930	4680
292	1935	4671
293	1942	4664
294	1947	4655
295	1954	4647
296	1959	4638
297	1965	4630
298	1971	4622
299	1977	4614
300	1983	4606
301	1989	4598
302	1995	4590
303	2001	4581
304	2007	4574
305	2013	4566
306	2020	4559
307	2026	4552
308	2040	4562
309	2049	4561
310	2056	4557
311	2062	4548
312	2068	4541
313	2075	4535
314	2081	4527
315	2088	4521
316	2097	4518
317	2107	4519
318	2113	4511
319	2124	4515
320	2130	4507
321	2143	4512
322	2154	4515
323	2164	4516
324	2178	4525
325	2192	4532
326	2202	4533
327	2213	4535
328	2226	4540
329	2240	4549
330	2251	4549
331	2263	4554
332	2278	4564
333	2299	4585
334	2323	4613
335	2335	4615
336	2349	4622
337	2361	4624
338	2371	4623
339	2380	4620
340	2388	4616
341	2398	4614
342	2406	4609
343	2413	4603
344	2421	4597
345	2428	4590
346	2435	4583
347	2441	4574
348	2448	4566
349	2453	4557
350	2459	4548
351	2466	4541
352	2472	4532
353	2480	4525
354	2485	4516
355	2491	4507
356	2497	4498
357	2503	4489
358	2509	4480
359	2515	4471
360	2521	4462
361	2527	4454
362	2535	4448
363	2541	4440
364	2548	4432
365	2553	4423
366	2559	4415
367	2568	4411
368	2574	4402
369	2581	4395
370	2587	4386
371	2593	4378
372	2599	4370
373	2605	4361
374	2612	4354
375	2618	4344
376	2623	4335
377	2629	4327
378	2635	4318
379	2641	4309
380	2647	4301
381	2653	4292
382	2659	4284
383	2665	4275
384	2671	4267
385	2677	4259
386	2683	4250
387	2689	4241
388	2695	4233
389	2701	4224
390	2706	4215
391	2712	4207
392	2718	4198
393	2724	4190
394	2730	4181
395	2736	4173
396	2742	4165
397	2748	4156
398	2754	4148
399	2760	4140
400	2766	4131
401	2771	4123
402	2778	4115
403	2783	4106
404	2790	4099
405	2795	4090
406	2801	4081
407	2807	4073
408	2813	4065
409	2819	4057
410	2825	4049
411	2831	4040
412	2837	4032
413	2843	4025
414	2849	4016
415	2855	4009
416	2861	4000
417	2867	3992
418	2873	3984
419	2881	3979
420	3008	4138
421	3052	4181
422	3089	4213
423	3115	4233
424	3138	4246
425	3168	4269
426	3198	4292
427	3230	4316
428	3285	4372
429	3313	4392
430	3330	4396
431	3355	4411
432	3391	4440
433	3406	4442
434	3416	4437
435	3424	4429
436	3432	4422
437	3440	4414
438	3447	4405
439	3455	4398
440	3463	4390
441	3470	4381
442	3477	4372
443	3483	4362
444	3489	4351
445	3495	4341
446	3501	4331
447	3507	4321
448	3512	4310
449	3519	4301
450	3525	4291
451	3531	4281
452	3538	4272
453	3543	4262
454	3550	4252
455	3556	4242
456	3562	4232
457	3568	4222
458	3574	4213
459	3580	4202
460	3586	4193
461	3592	4183
462	3598	4173
463	3604	4163
464	3609	4153
465	3616	4143
466	3622	4134
467	3627	4124
468	3634	4114
469	3640	4104
470	3646	4095
471	3652	4085
472	3658	4076
473	3664	4067
474	3670	4057
475	3676	4047
476	3682	4037
477	3688	4027
478	3694	4018
479	3700	4008
480	3706	3999
481	3712	3989
482	3718	3979
483	3723	3970
484	3730	3960
485	3735	3951
486	3741	3941
487	3748	3932
488	3754	3923
489	3759	3913
490	3766	3904
491	3772	3894
492	3778	3885
493	3784	3876
494	3790	3866
495	3796	3857
496	3802	3848
497	3808	3839
498	3817	3832
499	3824	3824
500	3832	3817
501	3840	3809
502	3852	3806
503	3861	3800
504	3873	3796
505	3887	3795
506	3911	3803
507	3923	3799
508	3938	3799
509	3952	3797
510	3970	3799
511	3986	3799
512	4002	3799
513	4027	3807
514	4042	3806
515	4057	3805
516	4068	3800
517	4079	3796
518	4089	3790
519	4101	3785
520	4114	3782
521	4125	3777
522	4135	3771
523	4146	3766
524	4154	3758
525	4163	3751
526	4171	3743
527	4180	3737
528	4192	3732
529	4199	3724
530	4207	3716
531	4216	3709
532	4226	3702
533	4235	3695
534	4243	3688
535	4256	3684
536	4265	3677
537	4274	3670
538	4284	3664
539	4295	3658
540	4302	3650
541	4311	3643
542	4323	3639
543	4334	3633
544	4346	3629
545	4357	3623
546	4369	3618
547	4380	3613
548	4400	3615
549	4418	3615
550	4430	3610
551	4448	3610
552	4460	3605
553	4472	3600
554	4481	3593
555	4489	3585
556	4498	3577
557	4505	3568
558	4514	3561
559	4524	3555
560	4531	3546
561	4541	3539
562	4549	3531
563	4560	3525
564	4571	3519
565	4586	3517
566	4602	3515
567	4616	3511
568	4629	3506
569	4644	3503
570	4656	3498
571	4667	3492
572	4678	3486
573	4685	3477
574	4697	3471
575	4706	3464
576	4713	3455
577	4721	3446
578	4728	3438
579	4735	3428
580	4741	3419
581	4747	3409
582	4753	3399
583	4759	3390
584	4765	3380
585	4771	3370
586	4777	3361
587	4783	3351
588	4789	3342
589	4795	3332
590	4801	3322
591	4807	3313
592	4813	3303
593	4818	3293
594	4824	3283
595	4830	3274
596	4836	3264
597	4842	3255
598	4848	3245
599	4854	3236
600	4860	3226
601	4866	3217
602	4872	3208
603	4879	3198
604	4885	3189
605	4891	3179
606	4896	3170
607	4903	3161
608	4909	3152
609	4918	3144
610	4925	3135
611	4933	3127
612	4941	3119
613	4953	3113
614	4969	3110
615	4983	3106
616	5003	3105
617	5018	3101
618	5027	3094
619	5039	3089
620	5066	3092
621	5088	3092
622	5106	3090
623	5132	3092
624	5153	3092
625	5170	3089
626	5184	3084
627	5194	3077
628	5208	3071
629	5219	3065
630	5226	3056
631	5235	3048
632	5242	3039
633	5252	3031
634	5259	3023
635	5266	3014
636	5272	3004
637	5278	2995
638	5284	2985
639	5291	2976
640	5297	2966
641	5303	2957
642	5309	2947
643	5315	2938
644	5321	2928
645	5327	2919
646	5333	2909
647	5339	2900
648	5345	2890
649	5350	2881
650	5356	2871
651	5362	2862
652	5368	2852
653	5374	2843
654	5381	2834
655	5387	2825
656	5395	2816
657	5403	2808
658	5411	2800
